ra,dec,e1,e2,w,z_src
224.638879134,2.87068294547,0.2954,0.3082,12.5085,0.3
216.941833753,-2.55194246378,-0.0739,-0.4178,11.1287,0.48
223.098686243,-1.85099688001,0.0297,-0.0315,13.9721,0.55
215.064148062,-2.49182595277,-0.1027,-0.1766,3.6553,0.26
224.739861532,2.15875139765,0.0375,0.0553,9.3627,0.74
218.627857374,-0.368001614897,0.2953,-0.3388,1.9905,0.39
222.411478818,-0.567790498313,0.2439,0.558,11.1983,0.27
213.495879216,-2.07817863773,-0.4322,-0.3066,1.1766,0.57
212.761247737,-1.80831700972,-0.4453,0.2539,0.9736,0.9
217.02332051,0.773517679737,-0.3502,0.5917,10.0813,0.54
214.693358621,-0.603160240334,-0.6315,0.1122,11.3875,1.31
223.692328803,2.3710596759,0.2631,-0.7069,14.6235,0.6
218.093977127,2.45812925693,-0.1774,-0.0391,12.3174,0.72
211.072821482,-1.09260366969,-0.0444,0.2648,14.6863,0.79
213.293224934,1.54135400087,-0.0078,0.7499,6.0169,0.57
219.986001021,1.66472165981,-0.14,0.0402,15.2817,0.44
211.47589052,0.776349563049,0.1161,0.2244,14.1295,0.15
222.674243976,-0.138074281667,0.011,0.5966,15.111,0.3
210.359948147,-2.2856792297,-0.0593,0.3569,1.3151,0.22
213.092406085,-2.4275664767,0.0903,0.1976,13.3269,0.3
213.131723799,-0.541109527881,0.4388,0.2226,14.0784,0.17
215.531312891,1.5901780184,0.3901,0.3652,0.1617,0.16
214.154203199,2.20549264724,0.3658,0.1957,8.5424,0.7
213.969828897,1.55823800645,-0.2537,0.1498,12.538,0.3
215.148088139,1.10371634782,0.0471,0.4825,1.5836,0.14
213.363125988,0.340913383489,-0.1774,-0.2671,9.6477,1.21
221.19416007,0.691716936731,-0.0691,-0.2027,5.3365,0.73
219.823594425,2.63438539824,0.1132,-0.0443,14.3292,0.81
214.42804926,-0.649497140437,0.4716,0.0258,15.3523,0.48
214.706804907,-2.96756637519,0.3265,0.0012,7.7844,0.81
210.810314652,2.53001337266,0.5306,0.0261,1.1186,1.3
220.729339156,2.84108053813,-0.4396,0.2273,13.7471,0.78
223.874893952,2.72358824316,0.1132,-0.2228,12.9324,0.59
211.497669956,-1.67619478244,0.1538,0.0903,10.4887,0.63
216.08080982,-0.833534081916,0.1959,0.3556,1.9556,0.11
217.953243294,2.48243648486,-0.3034,0.0427,6.6021,0.11
219.571498502,0.657211365046,0.1763,-0.5601,0.7808,0.11
212.464257979,-2.37070001537,-0.0529,0.6088,15.5612,0.24
212.461478622,-1.48974483986,0.0135,-0.0156,14.836,0.76
222.371677055,1.79026208023,0.1905,0.6423,0.0265,0.9
218.566201925,-0.796675689906,0.3122,-0.4875,8.7457,0.55
218.800358595,0.430859878477,-0.0923,0.036,3.547,1.06
214.18606086,0.731982509181,0.2595,-0.5668,4.6626,0.13
213.607289253,1.26820082137,0.0154,-0.3263,8.3441,0.76
222.698135303,0.499642884709,0.1001,0.6774,12.6064,0.75
210.905227984,1.86670553403,-0.3527,0.244,10.8581,0.87
213.606558638,2.57546933877,0.2143,-0.1621,12.246,0.32
219.133906395,0.756274865231,0.1249,0.1049,15.3666,0.19
